codigo,classificacao,descricao,endereco,estoque,minimo,maximo
ALM00001,,"MODULO DE FREIO SEW | 13000063 Uin24V DC Ue 20...30V DC  I n 5,0A DC",B1103,0,0,0
ALM00002,,FITA ISOLANTE ALTA | TENSÃO SCOTCH 23 - AUTOFUSÃO 19MM X 10M,ARMARIO,13,0,0
ALM00003,,FITA ISOLANTE BAIXA | TENSÃO PRETA  / 19MM X 20M 33+,ARMARIO,28,0,0
ALM00004,,TOMADAS | 10  AMPERES ,A1402,4,0,0
ALM00005,,REATOR ELETRÔNICO | PHILIPS 2X32W 127/230V - REF. EB232A16/26P,A1405,2,0,0
ALM00006,,"CONDULETE | ALUM: E 1"" COM ROSCA",A1402,12,0,0
ALM00007,,ACOPLAMENTO | STECK N3059 16A-9h/380-440V 2P+,A1405,5,0,0
ALM00008,,FUSIVEL CERAMICO | 10A,A1204,70,0,0
ALM00009,,"FUSIVEL DE VIDRO | 1,5A",A1204,0,0,0
ALM00010,,"FUSIVEL DE VIDRO | 2,5A",A1204,0,0,0
ALM00011,,FUSIVEL DE VIDRO | 3A,A1204,0,0,0
ALM00012,, FUSIVEL DE VIDRO | 6A                                                                                                                                                                                                                                                                                                                                                                ,A1204,22,0,0
ALM00013,,FUSIVEL DE VIDRO | 4A,A1204,0,0,0
ALM00014,,FUSIVEL CARTUCHO ULTRA RAPIDO | 10X38 4A,A1204,1,0,0
ALM00015,,FUSIVEL CARTUCHO ULTRA RAPIDO | 10X38 2A,A1204,9,0,0
ALM00016,,FUSIVEL CARTUCHO ULTRA RAPIDO | 10X38 6A,A1204,1,0,0
ALM00017,,FUSIVEL CARTUCHO ULTRA RAPIDO | 10X38 10A,A1204,2,0,0
ALM00018,,BUCHA DE BRONZE| ,E1303,264,0,0
ALM00019,,BLOCO DE CONTATO AUXILIAR | SIEMENS 3RH1911-1FA22,A1204,1,0,0
ALM00020,,SENSOR FIM DE CURSO | XCKM110 X1,A1205,3,0,0
ALM00021,,VENTOINHA | 63 PARA MOTOR,B1106,3,0,0
ALM00022,,BOMBA DE PISTÃO | COMPLETA MAKMELT 340210N,E2304,0,0,0
ALM00023,,BOTÃO DE PRESSÃO CABEÇA DUPLA | XB5AW7A3740B5,B1304,0,0,0
ALM00024,,RELE DE NIVEL | NC-COM-NO,A1205,4,0,0
ALM00025,,CHAVE PARA CONTATO | ABERTO FECHADO ZB2BE102,A1205,0,0,0
ALM00026,,FUSIVEL LEGRAND | 13301 10X38 Gg 1A 500V IEC 269-2 NFC 63 210/100KA,A1204,2,0,0
ALM00027,,"CABO CONECTOR | SICK 2022547 10,0M 12 PINOS ",B1405,5,0,0
ALM00028,,DISTRIBUIDOR DE CONTATO | PHOENIX D18D08,A1205,1,0,0
ALM00029,,MOTOR CANTONI |SKH71-4A 440A,F1402,6,0,0
ALM00030,,"REGUA HIDRAULICA | Roll bar with hydraulic. Increase R. A. T.-Article No. 58292 8.1834.5150 - L=1600mm

",CORREDOR 1,0,0,0
ALM00031,,CANALETA SISTEMA X | VARIAS MEDIDAS,CORREDOR 1,0,0,0
ALM00032,,DISJUNTOR MOTOR | 3P 25A 2.5-4A REF: SLS2251C,A2405,0,0,0
ALM00033,,DISJUNTOR TRIPOLAR | ROBUSTO EZC100N GB 14048.2,A1302,2,0,0
ALM00034,,DISJUNTOR SERIE | c20 230/400v 50/60Hz 3000A,A1302,0,0,0
ALM00035,,DISJUNTOR RESIDUAL | MDW C40 -230/400V WEG,A1302,4,0,0
ALM00036,,DISJUNTOR TERMOMAGNETICO | EZ9F33316 (SCHNEIDER),A1302,0,0,0
ALM00037,,DISJUNTOR TRIPOLAR | DZ47-63 (LUKMA) 50/60Hz,A1302,0,0,0
ALM00038,,DISJUNTOR MOTOR | IEC-EN 60947 MS116-1.0 1SAM250000R1005 (ABB),A1303,1,0,0
ALM00039,,DISJUNTOR MOTOR | TERMOMAGNETICO GV2 ME06 1-1.6A,G1102,0,0,0
ALM00040,,DISJUNTOR MOTOR | GZ1M14 6-10A (SCHNEIDER),A1303,1,0,0
ALM00041,,DISJUNTOR MOTOR | TERMOMAGNÉTICO SCHNEIDER  - REF. GV2-ME08C / 2.5-4A,G1102,0,0,0
ALM00042,,BLOCO DE CONTATOS | AUXILIARES FRONTAIS  - 3RH2911-1GA40 (SIEMENS),A1204,5,0,0
ALM00043,,BASE C/ RELÉ | SLIM PRT8-1/ JZ1RC3 24VDC METALTEX PRT8-1 (HIGHEND),A1304,18,0,0
ALM00044,,FUSIVEL CARTUCHO | HAGER NHOOO Gg 120KA 100A 500V,A1204,2,0,0
ALM00045,,CONTATO AUX | PARA DISJUNTOR MOTOR GVAE11 SCHENEIDE,A1304,1,0,0
ALM00046,,DISJUNTOR MOTOR | GZ1E32  X1  32A    Easy TVS-056791  (SCHINEIDER),G1102,0,0,0
ALM00047,,SENSOR FIM DE CURSO | ZCP 21 M12 X1  GB14048.5,A1304,11,0,0
ALM00048,,DISJUNTOR MOTOR | GZ1E03 GB14048.2 GB14048.4 (SCHINEIDER),G1102,2,0,0
ALM00049,,DISJUNTOR BIPOLAR | SCHINEIDER EZ9F13120,G1102,1,0,0
ALM00050,,DISJUNTOR MOTOR | GV2ME-16 X1   9-14A (SCHINEIDER),G1102,0,0,0
ALM00051,,RELE TERMICO DE SOBRECARGA | LRD05 IEC-EM  60947-4-1 (SCHNEIDER) MAX:690V-50/60Hz 10A B600-R300,A1304,3,0,0
ALM00052,,CONTATOR TRIPOLAR | SCHNEIDER -  REF. LC1D09-M7,G1102,0,0,0
ALM00053,,"BLOCO TERMINAL | PARA RELE TERMICO LAD7B106 35X50,70 M4",A1304,2,0,0
ALM00054,,DISJUNTOR BIPOLAR | EZ9F33206 IEC 60898-1   220V (SCHNEIDER) C6,G1103,0,0,0
ALM00055,,RELE DE NIVEL | WEG RNW-ENE09 (WEG),A1304,3,0,0
ALM00056,,DISJUNTOR MONOPOLAR | 5SL11 MCB C6 IEC 60898-1 (SIEMENS),G1104,0,0,0
ALM00057,,"BOTOEIRA C/ SINALIZAÇÃO BRANCA | BHS - REF. HB2-BE101, 1NO Ø22MM BA9S VMAX 220V BHS",A1305,11,0,0
ALM00058,,"COOLER | 220VAC 60HZ 1.4W 0,10A , F2E - 1205 - 230",B1106,0,0,0
ALM00059,,"BOTOEIRA C/ SINALIZAÇÃO VERDE | BHS - REF. TY-15A, 1NO Ø22MM BA9S VMAX 220V TY-15A BHS",A1305,7,0,0
ALM00060,,BASE PARA FUSIVEL  CERAMICO | (WOHNER),A1305,1,0,0
ALM00061,,"BOTOEIRA C/ SINALIZAÇÃO AZUL | BHS - REF. TY-13C, 1NO Ø22MM BA9S VMAX 220V TY-13C BHS",A1305,3,0,0
ALM00062,,BASE COM FUSIVEL | ETI 16A 002322009,A1305,2,0,0
ALM00063,,BOTÃO DE EMERGENCIA TIPO C | IEC60947-5-5 (ABB),A1305,1,0,0
